picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 9600
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
1379241,45.69,STAYOFF
1381241,45.63,STAYOFF
1383241,45.63,STAYOFF
1385241,45.63,STAYOFF
1387241,45.63,STAYOFF
1389241,45.63,STAYOFF
1391241,45.63,STAYOFF
1393241,45.63,STAYOFF
1395240,45.63,STAYOFF
1397240,45.63,STAYOFF
1399240,45.63,STAYOFF
1401240,45.63,STAYOFF
1403240,45.63,STAYOFF
1405240,45.63,STAYOFF
1407240,45.56,STAYOFF
1409240,45.56,STAYOFF
1411239,45.56,STAYOFF
1413239,45.56,STAYOFF
1415239,45.56,STAYOFF
1417239,45.56,STAYOFF
1419239,45.56,STAYOFF
1421239,45.56,STAYOFF
1423239,45.56,STAYOFF
1425239,45.56,STAYOFF
1427238,45.56,STAYOFF
1429238,45.56,STAYOFF
1431238,45.50,STAYOFF
1433237,45.50,STAYOFF
1435237,45.50,STAYOFF
1437237,45.50,STAYOFF
1439237,45.50,STAYOFF
1441236,45.50,STAYOFF
1443236,45.50,STAYOFF
1445236,45.50,STAYOFF
1447236,45.50,STAYOFF
1449236,45.50,STAYOFF
1451236,45.50,STAYOFF
1453236,45.44,STAYOFF
1455236,45.44,STAYOFF
1457235,45.44,STAYOFF
1459235,45.44,STAYOFF
1461235,45.44,STAYOFF
1463235,45.44,STAYOFF
1465235,45.44,STAYOFF
1467235,45.44,STAYOFF
1469235,45.44,STAYOFF
1471235,45.44,STAYOFF
1473234,45.44,STAYOFF
1475234,45.38,STAYOFF
1477234,45.38,STAYOFF
1479234,45.38,STAYOFF
1481234,45.38,STAYOFF
1483234,45.38,STAYOFF
1485234,45.38,STAYOFF
1487234,45.38,STAYOFF
1489233,45.38,STAYOFF
1491233,45.38,STAYOFF
1493233,45.38,STAYOFF
1495233,45.38,STAYOFF
1497233,45.38,STAYOFF
1499233,45.31,STAYOFF
1501233,45.38,STAYOFF
1503233,45.31,STAYOFF
1505232,45.31,STAYOFF
1507232,45.31,STAYOFF
1509232,45.31,STAYOFF
1511231,45.31,STAYOFF
1513231,45.31,STAYOFF
1515231,45.31,STAYOFF
1517231,45.31,STAYOFF
1519230,45.31,STAYOFF
1521230,45.31,STAYOFF
1523230,45.31,STAYOFF
1525230,45.25,STAYOFF
1527230,45.25,STAYOFF
1529230,45.25,STAYOFF
1531230,45.25,STAYOFF
1533230,45.25,STAYOFF
1535229,45.25,STAYOFF
1537229,45.25,STAYOFF
1539229,45.25,STAYOFF
1541229,45.25,STAYOFF
1543229,45.25,STAYOFF
1545229,45.25,STAYOFF
1547229,45.25,STAYOFF
1549229,45.25,STAYOFF
1551228,45.19,STAYOFF
1553228,45.19,STAYOFF
1555228,45.19,STAYOFF
1557228,45.19,STAYOFF
1559228,45.19,STAYOFF
1561228,45.19,STAYOFF
1563228,45.19,STAYOFF
1565228,45.19,STAYOFF
1567227,45.19,STAYOFF
1569227,45.19,STAYOFF
1571227,45.19,STAYOFF
1573226,45.13,STAYOFF
1575226,45.19,STAYOFF
1577226,45.13,STAYOFF
1579226,45.13,STAYOFF
1581225,45.13,STAYOFF
1583225,45.13,STAYOFF
1585225,45.13,STAYOFF
1587225,45.13,STAYOFF
1589225,45.13,STAYOFF
1591225,45.13,STAYOFF
1593225,45.13,STAYOFF
1595225,45.13,STAYOFF
1597224,45.06,STAYOFF
1599224,45.06,STAYOFF
1601224,45.06,STAYOFF
1603224,45.06,STAYOFF
1605224,45.06,STAYOFF
1607224,45.06,STAYOFF
1609224,45.06,STAYOFF
1611224,45.06,STAYOFF
1613222,45.06,STAYOFF
1615223,45.06,STAYOFF
1617224,45.06,STAYOFF
1619225,45.06,STAYOFF
1621225,45.06,STAYOFF
1623225,45.00,STAYOFF
1625225,45.06,STAYOFF
1627225,45.00,STAYOFF
1629224,45.00,STAYOFF
1631224,45.00,STAYOFF
1633224,45.00,STAYOFF
1635224,45.00,STAYOFF
1637224,45.00,STAYOFF
1639223,45.00,STAYOFF
1641224,45.00,STAYOFF
1643225,45.00,STAYOFF
1645224,45.00,STAYOFF
1647224,45.00,STAYOFF
1649224,45.00,STAYOFF
1651224,44.94,STAYOFF
1653224,44.94,STAYOFF
1655224,44.94,STAYOFF
1657224,44.94,STAYOFF
1659224,44.94,STAYOFF
1661223,44.94,STAYOFF
1663223,44.94,STAYOFF
1665222,44.94,STAYOFF
1667222,44.94,STAYOFF
1669223,44.94,STAYOFF
1671224,44.94,STAYOFF
1673224,44.94,STAYOFF
1675224,44.94,STAYOFF
1677223,44.88,STAYOFF
1679223,44.88,STAYOFF
1681223,44.88,STAYOFF
1683223,44.88,STAYOFF
1685223,44.88,STAYOFF
1687223,44.88,STAYOFF
1689223,44.88,STAYOFF
1691223,44.88,STAYOFF
1693221,44.88,STAYOFF
1695222,44.88,STAYOFF
1697223,44.88,STAYOFF
1699224,44.88,STAYOFF
1701224,44.88,STAYOFF
1703224,44.88,STAYOFF
1705224,44.81,STAYOFF
1707224,44.81,STAYOFF
1709223,44.81,STAYOFF
1711223,44.81,STAYOFF
1713223,44.81,STAYOFF
1715223,44.81,STAYOFF
1717223,44.81,STAYOFF
1719222,44.81,STAYOFF
1721222,44.81,STAYOFF
1723223,44.81,STAYOFF
1725223,44.81,STAYOFF
1727224,44.81,STAYOFF
1729224,44.75,STAYOFF
1731224,44.75,STAYOFF
1733224,44.75,STAYOFF
1735224,44.75,STAYOFF
1737224,44.75,STAYOFF
1739224,44.75,STAYOFF
1741223,44.75,STAYOFF
1743223,44.75,STAYOFF
1745223,44.75,STAYOFF
1747222,44.75,STAYOFF
1749222,44.75,STAYOFF
1751223,44.75,STAYOFF
1753224,44.69,STAYOFF
1755224,44.69,STAYOFF
1757223,44.69,STAYOFF
1759223,44.69,STAYOFF
1761223,44.69,STAYOFF
1763223,44.69,STAYOFF
1765223,44.69,STAYOFF
1767223,44.69,STAYOFF
1769223,44.69,STAYOFF
1771223,44.69,STAYOFF
1773222,44.69,STAYOFF
1775221,44.69,STAYOFF
1777222,44.69,STAYOFF
1779223,44.69,STAYOFF
1781224,44.63,STAYOFF
1783224,44.63,STAYOFF
1785224,44.63,STAYOFF
1787224,44.63,STAYOFF
1789223,44.63,STAYOFF
1791223,44.63,STAYOFF
1793223,44.63,STAYOFF
1795223,44.63,STAYOFF
1797223,44.63,STAYOFF
1799223,44.63,STAYOFF
1801223,44.63,STAYOFF
1803222,44.63,STAYOFF
1805222,44.63,STAYOFF
