NOTE: Press Ctrl+A Ctrl+X to exit.
picocom -b 86400 /dev/ttyACM3
picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 86400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
915240,58.38,STAYOFF
917241,58.38,STAYOFF
919241,58.38,STAYOFF
921241,58.38,STAYOFF
923242,58.31,STAYOFF
925241,58.31,STAYOFF
927242,58.31,STAYOFF
929243,58.31,STAYOFF
931241,58.31,STAYOFF
933242,58.31,STAYOFF
935243,58.31,STAYOFF
937243,58.25,STAYOFF
939241,58.25,STAYOFF
941242,58.25,STAYOFF
943242,58.19,STAYOFF
945241,58.19,STAYOFF
947241,58.25,STAYOFF
949242,58.25,STAYOFF
951242,58.19,STAYOFF
953241,58.19,STAYOFF
955242,58.19,STAYOFF
957242,58.19,STAYOFF
959241,58.13,STAYOFF
961242,58.13,STAYOFF
963241,58.13,STAYOFF
965240,58.13,STAYOFF
967241,58.06,STAYOFF
969241,58.06,STAYOFF
971240,58.06,STAYOFF
973241,58.06,STAYOFF
975241,58.00,STAYOFF
977241,58.00,STAYOFF
979241,58.00,STAYOFF
981240,57.94,STAYOFF
983241,57.94,STAYOFF
985242,57.94,STAYOFF
987241,57.94,STAYOFF
989242,57.88,STAYOFF
991243,57.88,STAYOFF
993242,57.88,STAYOFF
995243,57.88,STAYOFF
997242,57.88,STAYOFF
999241,57.88,STAYOFF
1001242,57.81,STAYOFF
1003242,57.81,STAYOFF
1005241,57.81,STAYOFF
1007242,57.81,STAYOFF
1009243,57.81,STAYOFF
1011241,57.75,STAYOFF
1013242,57.75,STAYOFF
1015243,57.75,STAYOFF
1017243,57.75,STAYOFF
1019241,57.75,STAYOFF
1021242,57.69,STAYOFF
1023242,57.69,STAYOFF
1025241,57.69,STAYOFF
1027241,57.69,STAYOFF
1029242,57.69,STAYOFF
1031241,57.69,STAYOFF
1033242,57.69,STAYOFF
1035243,57.63,STAYOFF
1037242,57.63,STAYOFF
1039243,57.63,STAYOFF
1041244,57.63,STAYOFF
1043243,57.63,STAYOFF
1045243,57.56,STAYOFF
1047244,57.56,STAYOFF
1049243,57.56,STAYOFF
1051243,57.56,STAYOFF
1053243,57.56,STAYOFF
1055242,57.56,STAYOFF
1057243,57.50,STAYOFF
1059241,57.56,STAYOFF
1061242,57.50,STAYOFF
1063243,57.50,STAYOFF
1065242,57.50,STAYOFF
1067243,57.50,STAYOFF
1069244,57.44,STAYOFF
1071243,57.44,STAYOFF
1073244,57.44,STAYOFF
1075244,57.44,STAYOFF
1077242,57.44,STAYOFF
1079243,57.44,STAYOFF
1081242,57.44,STAYOFF
1083243,57.44,STAYOFF
1085244,57.38,STAYOFF
1087243,57.38,STAYOFF
1089244,57.38,STAYOFF
1091245,57.38,STAYOFF
1093243,57.38,STAYOFF
1095244,57.38,STAYOFF
1097243,57.31,STAYOFF
1099243,57.38,STAYOFF
1101244,57.31,STAYOFF
1103243,57.31,STAYOFF
1105244,57.31,STAYOFF
1107245,57.31,STAYOFF
1109243,57.31,STAYOFF
1111244,57.31,STAYOFF
1113245,57.25,STAYOFF
1115243,57.25,STAYOFF
1117244,57.25,STAYOFF
1119243,57.25,STAYOFF
1121243,57.25,STAYOFF
1123244,57.25,STAYOFF
1125242,57.25,STAYOFF
1127243,57.19,STAYOFF
1129244,57.19,STAYOFF
1131242,57.19,STAYOFF
1133243,57.19,STAYOFF
1135244,57.19,STAYOFF
1137243,57.19,STAYOFF
1139244,57.19,STAYOFF
1141243,57.13,STAYOFF
1143242,57.13,STAYOFF
1145243,57.13,STAYOFF
1147241,57.13,STAYOFF
1149242,57.13,STAYOFF
1151243,57.13,STAYOFF
1153242,57.13,STAYOFF
1155243,57.13,STAYOFF
1157242,57.13,STAYOFF
1159242,57.06,STAYOFF
1161243,57.06,STAYOFF
1163241,57.06,STAYOFF
1165242,57.06,STAYOFF
1167241,57.06,STAYOFF
1169242,57.06,STAYOFF
1171243,57.00,STAYOFF
1173241,57.00,STAYOFF
1175242,57.00,STAYOFF
1177241,57.00,STAYOFF
1179242,57.00,STAYOFF
1181241,57.00,STAYOFF
1183242,57.00,STAYOFF
1185242,57.00,STAYOFF
1187243,57.00,STAYOFF
1189243,56.94,STAYOFF
1191242,56.94,STAYOFF
1193243,56.94,STAYOFF
1195241,56.94,STAYOFF
1197242,56.94,STAYOFF
1199242,56.94,STAYOFF
1201243,56.94,STAYOFF
1203244,56.88,STAYOFF
1205242,56.94,STAYOFF
1207243,56.88,STAYOFF
1209242,56.88,STAYOFF
1211243,56.88,STAYOFF
1213242,56.88,STAYOFF
1215243,56.88,STAYOFF
1217244,56.88,STAYOFF
1219243,56.88,STAYOFF
1221243,56.81,STAYOFF
1223242,56.81,STAYOFF
1225243,56.81,STAYOFF
1227241,56.81,STAYOFF
1229242,56.81,STAYOFF
1231243,56.81,STAYOFF
1233242,56.81,STAYOFF
1235243,56.75,STAYOFF
1237241,56.75,STAYOFF
1239242,56.75,STAYOFF
1241241,56.75,STAYOFF
1243242,56.75,STAYOFF
1245242,56.75,STAYOFF
1247242,56.75,STAYOFF
1249243,56.75,STAYOFF
1251241,56.75,STAYOFF
1253242,56.69,STAYOFF
1255241,56.69,STAYOFF
1257242,56.69,STAYOFF
1259242,56.69,STAYOFF
1261243,56.69,STAYOFF
1263244,56.69,STAYOFF
1265243,56.69,STAYOFF
1267244,56.69,STAYOFF
1269242,56.63,STAYOFF
1271243,56.63,STAYOFF
1273243,56.63,STAYOFF
1275243,56.63,STAYOFF
1277244,56.63,STAYOFF
1279243,56.63,STAYOFF
1281244,56.63,STAYOFF
1283243,56.56,STAYOFF
1285243,56.56,STAYOFF
1287242,56.56,STAYOFF
1289243,56.56,STAYOFF
1291243,56.56,STAYOFF
1293242,56.56,STAYOFF
1295243,56.56,STAYOFF
1297242,56.56,STAYOFF
1299243,56.56,STAYOFF
1301241,56.50,STAYOFF
1303242,56.50,STAYOFF
1305242,56.50,STAYOFF
1307243,56.50,STAYOFF
1309243,56.50,STAYOFF
1311243,56.44,STAYOFF
1313244,56.44,STAYOFF
1315243,56.44,STAYOFF
1317243,56.44,STAYOFF
1319242,56.44,STAYOFF
1321243,56.44,STAYOFF
1323241,56.44,STAYOFF
1325242,56.44,STAYOFF
1327241,56.44,STAYOFF
1329242,56.38,STAYOFF
1331240,56.38,STAYOFF
1333241,56.31,STAYOFF
1335240,56.31,STAYOFF
1337241,56.25,STAYOFF
1339240,56.19,STAYOFF
1341241,56.19,STAYOFF
1343240,56.13,STAYOFF
1345241,56.13,STAYOFF
1347239,56.13,STAYOFF
1349240,56.06,STAYOFF
1351239,56.00,STAYOFF
1353239,56.00,STAYOFF
1355239,55.94,STAYOFF
1357240,55.94,STAYOFF
1359239,55.88,STAYOFF
1361239,55.88,STAYOFF
1363238,55.88,STAYOFF
1365238,55.81,STAYOFF
1367239,55.81,STAYOFF
1369238,55.81,STAYOFF
1371239,55.75,STAYOFF
1373238,55.75,STAYOFF
1375239,55.75,STAYOFF
1377238,55.75,STAYOFF
1379237,55.69,STAYOFF
1381238,55.69,STAYOFF
1383238,55.69,STAYOFF
1385238,55.69,STAYOFF
1387237,55.69,STAYOFF
1389238,55.69,STAYOFF
1391237,55.69,STAYOFF
1393236,55.63,STAYOFF
1395237,55.63,STAYOFF
1397237,55.63,STAYOFF
1399238,55.63,STAYOFF
1401236,55.63,STAYOFF
1403237,55.56,STAYOFF
1405236,55.56,STAYOFF
1407236,55.56,STAYOFF
1409235,55.56,STAYOFF
1411235,55.56,STAYOFF
1413236,55.56,STAYOFF
1415236,55.50,STAYOFF
1417237,55.50,STAYOFF
1419236,55.50,STAYOFF
1421237,55.50,STAYOFF
1423236,55.50,STAYOFF
1425235,55.50,STAYOFF
1427236,55.50,STAYOFF
1429236,55.44,STAYOFF
1431237,55.44,STAYOFF
1433235,55.44,STAYOFF
1435236,55.44,STAYOFF
1437235,55.44,STAYOFF
1439235,55.44,STAYOFF
1441235,55.38,STAYOFF
1443235,55.38,STAYOFF
1445236,55.38,STAYOFF
1447235,55.38,STAYOFF
1449236,55.38,STAYOFF
1451235,55.38,STAYOFF
1453235,55.38,STAYOFF
1455236,55.38,STAYOFF
1457235,55.31,STAYOFF
1459236,55.31,STAYOFF
1461235,55.31,STAYOFF
1463235,55.31,STAYOFF
1465236,55.31,STAYOFF
1467236,55.31,STAYOFF
1469237,55.31,STAYOFF
1471236,55.25,STAYOFF
1473235,55.31,STAYOFF
1475236,55.25,STAYOFF
1477235,55.25,STAYOFF
1479235,55.25,STAYOFF
1481236,55.25,STAYOFF
1483236,55.25,STAYOFF
1485236,55.19,STAYOFF
1487237,55.19,STAYOFF
1489236,55.19,STAYOFF
1491237,55.19,STAYOFF
1493236,55.19,STAYOFF
1495236,55.19,STAYOFF
1497237,55.19,STAYOFF
1499236,55.19,STAYOFF
1501236,55.19,STAYOFF
1503237,55.19,STAYOFF
1505236,55.13,STAYOFF
1507236,55.13,STAYOFF
1509237,55.13,STAYOFF
1511237,55.13,STAYOFF
1513237,55.13,STAYOFF
1515236,55.13,STAYOFF
1517236,55.13,STAYOFF
1519237,55.06,STAYOFF
1521236,55.06,STAYOFF
1523236,55.06,STAYOFF
1525237,55.06,STAYOFF
1527237,55.06,STAYOFF
1529236,55.06,STAYOFF
1531237,55.06,STAYOFF
1533237,55.06,STAYOFF
1535238,55.00,STAYOFF
1537236,55.00,STAYOFF
1539236,55.00,STAYOFF
1541237,55.00,STAYOFF
1543236,55.00,STAYOFF
1545236,55.00,STAYOFF
1547237,55.00,STAYOFF
1549237,55.00,STAYOFF
1551237,54.94,STAYOFF
1553238,54.94,STAYOFF
1555237,54.94,STAYOFF
1557237,54.94,STAYOFF
1559238,54.94,STAYOFF
1561237,54.94,STAYOFF
1563238,54.94,STAYOFF
1565237,54.94,STAYOFF
1567237,54.88,STAYOFF
1569238,54.88,STAYOFF
1571236,54.88,STAYOFF
1573236,54.88,STAYOFF
1575237,54.88,STAYOFF
1577236,54.88,STAYOFF
1579236,54.88,STAYOFF
1581237,54.88,STAYOFF
1583237,54.81,STAYOFF
1585238,54.81,STAYOFF
1587236,54.81,STAYOFF
1589236,54.81,STAYOFF
1591237,54.81,STAYOFF
1593235,54.81,STAYOFF
1595235,54.81,STAYOFF
1597235,54.81,STAYOFF
1599236,54.81,STAYOFF
1601235,54.75,STAYOFF
1603235,54.75,STAYOFF
1605236,54.75,STAYOFF
1607236,54.75,STAYOFF
1609236,54.75,STAYOFF
1611237,54.75,STAYOFF
1613237,54.75,STAYOFF
1615237,54.75,STAYOFF
1617236,54.75,STAYOFF
1619237,54.69,STAYOFF
1621237,54.69,STAYOFF
1623237,54.69,STAYOFF
1625237,54.69,STAYOFF
1627237,54.69,STAYOFF
1629237,54.69,STAYOFF
1631238,54.69,STAYOFF
1633236,54.63,STAYOFF
1635236,54.63,STAYOFF
1637236,54.63,STAYOFF
1639237,54.63,STAYOFF
1641236,54.63,STAYOFF
1643236,54.63,STAYOFF
1645237,54.63,STAYOFF
1647237,54.63,STAYOFF
1649236,54.63,STAYOFF
1651237,54.56,STAYOFF
1653236,54.56,STAYOFF
1655236,54.56,STAYOFF
1657236,54.56,STAYOFF
1659237,54.56,STAYOFF
1661237,54.56,STAYOFF
1663237,54.56,STAYOFF
1665238,54.56,STAYOFF
1667236,54.50,STAYOFF
1669236,54.50,STAYOFF
1671236,54.50,STAYOFF
1673237,54.50,STAYOFF
1675237,54.50,STAYOFF
1677237,54.50,STAYOFF
1679238,54.50,STAYOFF
1681238,54.50,STAYOFF
1683237,54.50,STAYOFF
1685237,54.50,STAYOFF
1687237,54.44,STAYOFF
1689236,54.44,STAYOFF
1691236,54.44,STAYOFF
1693237,54.44,STAYOFF
1695237,54.44,STAYOFF
1697236,54.44,STAYOFF
1699237,54.44,STAYOFF
1701236,54.44,STAYOFF
1703236,54.44,STAYOFF
1705236,54.38,STAYOFF
1707237,54.38,STAYOFF
1709237,54.38,STAYOFF
1711237,54.38,STAYOFF
1713236,54.44,STAYOFF
1715237,54.44,STAYOFF
1717237,54.50,STAYOFF
1719237,54.56,STAYOFF
1721237,54.56,STAYOFF
1723237,54.56,STAYOFF
1725237,54.56,STAYOFF
1727237,54.56,STAYOFF
1729236,54.50,STAYOFF
1731236,54.50,STAYOFF
1733236,54.50,STAYOFF
1735237,54.44,STAYOFF
1737236,54.44,STAYOFF
1739236,54.44,STAYOFF
1741237,54.38,STAYOFF
1743236,54.38,STAYOFF
1745235,54.31,STAYOFF
